Presentation Data
SampleTime, PercentMoisture
Time: 1469793327, Moistures: 0.41, 12.12, 47.61, 14.39, 13.73, 0.88, 0.56, Rain: 0.01
Time: 1469793332, Moistures: 0.23, 12.93, 48.61, 14.39, 13.37, 0.53, 0.85, Rain: 0.01
Time: 1469793337, Moistures: 0.26, 12.49, 48.76, 14.54, 13.22, 0.59, 0.82, Rain: 0.01
Time: 1469793342, Moistures: 0.38, 12.19, 48.22, 16.23, 14.32, 0.97, 0.38, Rain: 0.01
Time: 1469793347, Moistures: 0.67, 11.97, 48.07, 19.90, 14.17, 0.85, 0.41, Rain: 0.01
Time: 1469793352, Moistures: 0.35, 12.56, 48.38, 22.72, 13.80, 0.70, 0.73, Rain: 0.01
Time: 1469793357, Moistures: 0.65, 11.90, 47.68, 24.69, 14.54, 1.00, 0.35, Rain: 0.01
Time: 1469793362, Moistures: 0.38, 12.27, 48.07, 24.83, 13.88, 0.65, 0.53, Rain: 0.01
Time: 1469793367, Moistures: 0.29, 12.71, 48.61, 25.54, 14.24, 0.62, 0.50, Rain: 0.01
Time: 1469793372, Moistures: 0.29, 12.19, 47.99, 27.37, 14.76, 0.85, 0.47, Rain: 0.01
Time: 1469793377, Moistures: 0.50, 12.19, 47.91, 26.66, 15.10, 0.94, 0.38, Rain: 0.01
Time: 1469793382, Moistures: 0.53, 11.90, 47.61, 26.81, 14.68, 0.97, 0.44, Rain: 0.01
Time: 1469793387, Moistures: 0.35, 12.63, 48.53, 26.95, 14.24, 0.65, 0.82, Rain: 0.01
Time: 1469793392, Moistures: 0.62, 12.05, 47.84, 27.09, 14.54, 0.59, 0.82, Rain: 0.01
Time: 1469793397, Moistures: 0.65, 11.90, 47.84, 27.37, 14.83, 0.85, 0.65, Rain: 0.01
Time: 1469793402, Moistures: 0.65, 11.90, 47.99, 27.93, 14.68, 0.59, 0.59, Rain: 0.01
Time: 1469793407, Moistures: 0.65, 12.12, 47.91, 27.79, 14.61, 0.53, 0.85, Rain: 0.01
Time: 1469793412, Moistures: 0.23, 12.85, 48.92, 29.91, 15.95, 0.76, 0.53, Rain: 0.01
Time: 1469793417, Moistures: 0.26, 12.19, 47.99, 29.77, 17.36, 0.79, 0.50, Rain: 0.01
Time: 1469793422, Moistures: 0.26, 12.19, 47.91, 28.92, 16.09, 0.67, 0.79, Rain: 0.01
Time: 1469793427, Moistures: 0.35, 11.97, 48.07, 29.06, 15.95, 0.59, 0.56, Rain: 0.01
Time: 1469793432, Moistures: 0.67, 12.27, 48.84, 30.19, 17.36, 0.91, 0.50, Rain: 0.01
Time: 1469793437, Moistures: 0.38, 12.56, 48.92, 31.60, 18.49, 0.97, 0.53, Rain: 0.01
Time: 1469793442, Moistures: 0.29, 12.05, 48.22, 30.75, 18.20, 0.97, 0.53, Rain: 0.01
Time: 1469793447, Moistures: 0.38, 12.78, 48.92, 32.59, 19.33, 0.67, 0.79, Rain: 0.01
Time: 1469793452, Moistures: 0.32, 11.97, 48.15, 31.18, 17.92, 0.76, 0.50, Rain: 0.01
Time: 1469793457, Moistures: 0.38, 11.97, 48.22, 31.88, 18.20, 0.76, 0.50, Rain: 0.01
Time: 1469793462, Moistures: 0.29, 12.93, 48.53, 32.02, 17.50, 0.65, 0.91, Rain: 0.01
Time: 1469793467, Moistures: 0.41, 11.97, 48.07, 32.16, 18.49, 0.62, 0.56, Rain: 0.01
Time: 1469793472, Moistures: 0.62, 12.27, 49.15, 34.14, 19.61, 0.82, 0.82, Rain: 0.01
Time: 1469793477, Moistures: 0.50, 11.97, 48.22, 33.15, 19.76, 0.91, 0.59, Rain: 0.01
Time: 1469793482, Moistures: 0.47, 12.12, 48.38, 33.29, 19.47, 0.91, 0.56, Rain: 0.01
Time: 1469793487, Moistures: 0.50, 11.97, 47.99, 33.15, 19.19, 0.70, 0.59, Rain: 0.01
Time: 1469793492, Moistures: 0.29, 12.93, 48.92, 35.41, 19.76, 0.70, 0.79, Rain: 0.01
Time: 1469793497, Moistures: 0.32, 12.93, 48.15, 34.70, 19.47, 0.62, 0.91, Rain: 0.01
Time: 1469793502, Moistures: 0.29, 12.12, 48.38, 34.42, 19.61, 0.73, 0.70, Rain: 0.01
Time: 1469793507, Moistures: 0.26, 12.05, 48.38, 34.84, 20.46, 0.85, 0.70, Rain: 0.01
Time: 1469793512, Moistures: 0.23, 12.34, 48.15, 35.55, 19.33, 0.65, 0.97, Rain: 0.01
Time: 1469793517, Moistures: 0.53, 12.49, 49.07, 36.96, 20.88, 0.82, 0.62, Rain: 0.01
Time: 1469793522, Moistures: 0.29, 12.27, 47.99, 36.53, 20.46, 0.67, 1.06, Rain: 0.01
Time: 1469793527, Moistures: 0.62, 12.27, 48.61, 36.82, 19.90, 0.70, 0.67, Rain: 0.01
